2511388057 reads of which  0.0999747224648% dirties
2515211881 reads of which  0.0999328620776% dirties
2519035569 reads of which  0.0998927264453% dirties
2522860487 reads of which  0.0998513628867% dirties
2526685604 reads of which  0.0998098812139% dirties
2530510618 reads of which  0.0997682650308% dirties
2534335230 reads of which  0.0997278280348% dirties
2538158846 reads of which  0.0996873593624% dirties
2541982510 reads of which  0.0996472784543% dirties
2545806512 reads of which  0.0996107028577% dirties
2549630692 reads of which  0.0995733345996% dirties
2553454335 reads of which  0.0995359441194% dirties
2557277720 reads of which  0.0994973819269% dirties
2561100522 reads of which  0.0994572000638% dirties
